molecule_chembl_id,smiles,pchembl_value,qed,sascore,mw,logp,hbd,hba,heavy_atoms,lipinski_pass,valid,max_tanimoto_to_known_drug,closest_known_drug
CHEMBL137027,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,6.32,0.5748941946467649,2.413794422801619,306.373,3.802200000000002,1,5,23,4,True,0.2676056338028169,Erlotinib
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,6.10,0.35297402256260646,3.131246129208564,268.23199999999997,0.9703399999999998,4,7,20,4,True,0.07291666666666667,Afatinib
CHEMBL309334,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.60,0.41120726791780354,2.9538706629815312,252.233,1.2647399999999998,3,6,19,4,True,0.07368421052631578,Osimertinib
CHEMBL304971,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.39,0.47806153545957225,2.9990287481040134,495.9460000000002,3.5295200000000007,3,6,35,4,True,0.3163265306122449,Gefitinib
CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.23,0.39565175779135786,3.916526676165775,509.97300000000024,3.9643200000000016,4,6,36,3,True,0.297029702970297,Gefitinib
CHEMBL137534,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.42,0.4405289173252188,2.7357901048482756,414.3110000000001,4.476600000000003,2,6,26,4,True,0.3424657534246575,Erlotinib
CHEMBL137788,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.47,0.5557541382312295,2.375444303932319,292.34600000000006,3.650800000000002,2,5,22,4,True,0.2714285714285714,Erlotinib
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.60,0.28404161629770514,2.519513939472672,433.31300000000016,6.115200000000003,2,5,28,3,True,0.3333333333333333,Erlotinib
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,5.62,0.30222067015785953,2.5652138880346858,220.253,1.2908799999999998,3,4,15,4,True,0.07446808510638298,Osimertinib
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.96,0.18401095574802662,3.149315395240275,602.6990000000002,4.4144200000000025,4,7,45,3,True,0.2719298245614035,Gefitinib
